"","mgi_symbol","ensembl_gene_id"
"1","Fer","ENSMUSG00000000127"
"2","Tfe3","ENSMUSG00000000134"
"3","Mid2","ENSMUSG00000000266"
"4","Trim25","ENSMUSG00000000275"
"5","Itgb2","ENSMUSG00000000290"
"6","Mx1","ENSMUSG00000000386"
"7","Lck","ENSMUSG00000000409"
"8","Pparg","ENSMUSG00000000440"
"9","Zfp385a","ENSMUSG00000000552"
"10","Hoxb6","ENSMUSG00000000690"
"11","Rab5b","ENSMUSG00000000711"
"12","Icosl","ENSMUSG00000000732"
"13","Rpa1","ENSMUSG00000000751"
"14","Polr3d","ENSMUSG00000000776"
"15","Tcf7","ENSMUSG00000000782"
"16","Ddx3x","ENSMUSG00000000787"
"17","Il12rb1","ENSMUSG00000000791"
"18","Bcl11a","ENSMUSG00000000861"
"19","Il4","ENSMUSG00000000869"
"20","Ccl3","ENSMUSG00000000982"
"21","Ilf2","ENSMUSG00000001016"
"22","Cfp","ENSMUSG00000001128"
"23","Mcm3ap","ENSMUSG00000001150"
"24","Oas1c","ENSMUSG00000001166"
"25","Oas1h","ENSMUSG00000001168"
"26","Sp1","ENSMUSG00000001280"
"27","Itgb7","ENSMUSG00000001281"
"28","Fbxo9","ENSMUSG00000001366"
"29","Meox1","ENSMUSG00000001493"
"30","Itfg2","ENSMUSG00000001518"
"31","Tnk1","ENSMUSG00000001583"
"32","Akt1","ENSMUSG00000001729"
"33","Il16","ENSMUSG00000001741"
"34","Kmt2a","ENSMUSG00000002028"
"35","Rab34","ENSMUSG00000002059"
"36","Spi1","ENSMUSG00000002111"
"37","Stat6","ENSMUSG00000002147"
"38","Narfl","ENSMUSG00000002280"
"39","Gmpr2","ENSMUSG00000002326"
"40","Armc6","ENSMUSG00000002343"
"41","Braf","ENSMUSG00000002413"
"42","Axl","ENSMUSG00000002602"
"43","Tgfb1","ENSMUSG00000002603"
"44","Prkd1","ENSMUSG00000002688"
"45","Lcp2","ENSMUSG00000002699"
"46","Tmem143","ENSMUSG00000002781"
"47","Cd36","ENSMUSG00000002944"
"48","Relb","ENSMUSG00000002983"
"49","Klf4","ENSMUSG00000003032"
"50","Stk11","ENSMUSG00000003068"
"51","Efna2","ENSMUSG00000003070"
"52","Irf3","ENSMUSG00000003184"
"53","Ebi3","ENSMUSG00000003206"
"54","Hck","ENSMUSG00000003283"
"55","Cacnb3","ENSMUSG00000003352"
"56","Rab3b","ENSMUSG00000003411"
"57","Fcgrt","ENSMUSG00000003420"
