"","mgi_symbol","ensembl_gene_id","ensembl_transcript_id"
"1","Fer","ENSMUSG00000000127","ENSMUST00000000127"
"2","Mid2","ENSMUSG00000000266","ENSMUST00000000266"
"3","Trim25","ENSMUSG00000000275","ENSMUST00000000275"
"4","Mx1","ENSMUSG00000000386","ENSMUST00000000386"
"5","Lck","ENSMUSG00000000409","ENSMUST00000000409"
"6","Polr3d","ENSMUSG00000000776","ENSMUST00000000776"
"7","Ddx3x","ENSMUSG00000000787","ENSMUST00000000787"
"8","Fbxo9","ENSMUSG00000001366","ENSMUST00000001366"
"9","Tnk1","ENSMUSG00000001583","ENSMUST00000001583"
"10","Axl","ENSMUSG00000002602","ENSMUST00000002602"
"11","Prkd1","ENSMUSG00000002688","ENSMUST00000002688"
"12","Relb","ENSMUSG00000002983","ENSMUST00000002983"
"13","Irf3","ENSMUSG00000003184","ENSMUST00000003184"
"14","Hck","ENSMUSG00000003283","ENSMUST00000003283"
"15","Matk","ENSMUSG00000004933","ENSMUST00000004933"
"16","Trim28","ENSMUSG00000005566","ENSMUST00000005566"
"17","Cyba","ENSMUSG00000006519","ENSMUST00000006519"
"18","Apobec3","ENSMUSG00000009585","ENSMUST00000009585"
"19","Tnfaip8l2","ENSMUSG00000013707","ENSMUST00000013707"
"20","Csf1","ENSMUSG00000014599","ENSMUST00000014599"
"21","Yes1","ENSMUSG00000014932","ENSMUST00000014932"
"22","Cybb","ENSMUSG00000015340","ENSMUST00000015340"
"23","Gata3","ENSMUSG00000015619","ENSMUST00000015619"
"24","Fcgr1","ENSMUSG00000015947","ENSMUST00000015947"
"25","Lbp","ENSMUSG00000016024","ENSMUST00000016024"
"26","Cr1l","ENSMUSG00000016481","ENSMUST00000016481"
"27","Dhx58","ENSMUSG00000017830","ENSMUST00000017830"
"28","Frk","ENSMUSG00000019779","ENSMUST00000019779"
"29","Fyn","ENSMUSG00000019843","ENSMUST00000019843"
"30","Tbk1","ENSMUSG00000020115","ENSMUST00000020115"
